# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

p 2 12 937 107 8527 1580
b 3 0 1056 0 1590 937
b 3 0 1056 0 1557 861
p 2 0 963 93 6949 1495
b 3 0 1056 0 1365 909
b 3 0 1056 0 1331 883
p 2 0 963 93 6899 1469
b 3 0 1056 0 1283 851
b 3 0 1056 0 1236 826
p 2 0 888 168 6062 1390
b 3 0 1056 0 1424 878
b 3 0 1056 0 1511 987
p 2 0 993 63 7123 1539
b 3 0 1056 0 1399 862
b 3 0 1056 0 1555 927
p 2 1 942 113 7131 1524
b 3 0 1056 0 1234 723
b 3 0 1056 0 1190 715
i 2 1056 0 0 23881 4063
b 3 0 1056 0 1059 696
b 3 0 1056 0 1206 733
p 2 0 1002 54 6651 1466
b 3 0 1056 0 1164 768
b 3 0 1056 0 1267 792
p 2 0 986 70 6135 1440
b 3 0 1056 0 786 636
b 3 0 1056 0 831 670
p 2 0 910 146 4906 1308
b 3 0 1056 0 863 722
b 3 0 1056 0 872 725
p 2 0 984 72 4262 1319
b 3 0 1056 0 785 623
b 3 0 1056 0 712 594
p 2 0 868 188 3996 1258
b 3 0 1056 0 877 699
b 3 0 1056 0 906 715
p 2 0 880 176 3998 1274
b 3 0 1056 0 913 648
b 3 0 1056 0 1016 752
p 2 0 925 131 5002 1331
b 3 0 1056 0 903 667
b 3 0 1056 0 915 709
p 2 0 976 80 5521 1376
b 3 0 1056 0 724 617
b 3 0 1056 0 907 724
p 2 0 957 99 4965 1350
b 3 0 1056 0 733 657
b 3 0 1056 0 769 664
p 2 0 914 142 4586 1286
b 3 0 1056 0 624 530
b 3 0 1056 0 717 602
p 2 0 917 139 4088 1280
b 3 0 1056 0 717 615
b 3 0 1056 0 786 676
p 2 0 937 119 4072 1288
b 3 0 1056 0 828 567
b 3 0 1056 0 866 598
p 2 0 935 121 3778 1261
b 3 0 1056 0 579 535
b 3 0 1056 0 696 622
p 2 0 953 103 4008 1273
b 3 0 1056 0 781 526
b 3 0 1056 0 727 549
p 2 0 851 205 3742 1239
b 3 0 1056 0 623 569
b 3 0 1056 0 873 669
p 2 5 964 87 4521 1316
b 3 0 1056 0 699 538
b 3 0 1056 0 540 472
p 2 7 944 105 3990 1295
b 3 0 1056 0 567 556
b 3 0 1056 0 856 649
p 2 5 820 231 3289 1230
b 3 0 1056 0 1041 577
b 3 0 1056 0 901 608
p 2 18 841 197 3946 1323
b 3 0 1056 0 907 630
b 3 0 1056 0 1216 709
p 2 16 943 97 5142 1433
b 3 0 1056 0 1740 745
b 3 0 1056 0 1813 816
p 2 74 755 227 6793 1650
b 3 0 1056 0 1984 857
b 3 0 1056 0 2050 955
p 2 47 988 21 7813 1798
b 3 0 1056 0 1543 883
b 3 0 1056 0 1586 994
p 2 48 950 58 8119 1739
b 3 0 1056 0 1796 996
b 3 0 1056 0 2033 1081
p 2 42 946 68 7881 1844
b 3 0 1056 0 2090 1060
b 3 0 1056 0 2083 1165
p 2 72 899 85 9053 1972
b 3 0 1056 0 2368 1388
b 3 0 1056 0 2184 1218
p 2 47 975 34 9573 1936
b 3 0 1056 0 1497 926
b 3 0 1056 0 1574 938
p 2 14 1022 20 8172 1876
b 3 0 1056 0 2361 1156
b 3 0 1056 0 2145 1013
p 2 13 1039 4 11232 1814
b 3 0 1056 0 2066 1052
b 3 0 1056 0 2000 994
p 2 11 1044 1 10757 1891
b 3 0 1056 0 1983 1053
b 3 0 1056 0 1941 1045
p 2 11 1031 14 8666 1712
b 3 0 1056 0 1859 981
b 3 0 1056 0 2044 1056
p 2 27 950 79 7235 1688
b 3 0 1056 0 2197 1027
b 3 0 1056 0 1995 1112
p 2 38 951 67 7709 1763
b 3 0 1056 0 1715 930
b 3 0 1056 0 1635 929
p 2 27 898 131 6429 1667
b 3 0 1056 0 1661 993
b 3 0 1056 0 1722 936
p 2 8 936 112 6418 1567
b 3 0 1056 0 1699 967
b 3 0 1056 0 1621 878
p 2 13 1015 28 7983 1719
b 3 0 1056 0 2062 1127
b 3 0 1056 0 2361 1244
p 2 39 1015 2 11305 1981
b 3 0 1056 0 2103 1189
p 2 25 974 57 8255 1955
b 3 0 1056 0 3227 1511
b 3 0 1056 0 3227 1542
p 2 40 940 76 9352 1985
b 3 0 1056 0 3269 1504
b 3 0 1056 0 3130 1438
p 2 38 916 102 9895 1936
b 3 0 1056 0 3093 1212
b 3 0 1056 0 2936 1285
