PlayedBefore,TimePlaying,PlayGames,Age,Sex,JumpRun1,LeftRun1,RightRun1,JumpEndRun1,LeftEndRun1,RightEndRun1,TimeRun1,JumpRun2,LeftRun2,RightRun2,JumpEndRun2,LeftEndRun2,RightEndRun2,TimeRun2,JumpRun3,LeftRun3,RightRun3,JumpEndRun3,LeftEndRun3,RightEndRun3,TimeRun3,EngFruChal
0,2,0,26,0,16,5,21,13,4,20,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
0,2,0,26,0,25,13,23,23,13,22,28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
0,2,0,26,0,17,6,10,15,6,10,18046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,2,0,26,0,5,1,8,4,1,8,5672,28,7,23,25,6,22,28890,0,0,0,0,0,0,0,303
0,2,0,26,0,3,2,3,2,2,3,5719,16,3,17,14,3,13,18875,0,0,0,0,0,0,0,203
0,0,0,34,1,6,3,14,4,3,15,10891,3,0,0,4,0,0,7718,7,0,4,5,0,4,13047,122
0,0,0,34,1,22,7,11,21,7,12,22890,4,0,3,3,0,3,8078,5,1,2,4,0,2,9657,121
0,0,0,34,1,4,1,2,4,1,2,5328,15,5,11,15,5,11,22172,6,1,8,6,1,6,11500,212
0,0,0,34,1,13,7,9,14,7,8,20921,26,10,12,24,9,10,31547,0,0,0,0,0,0,0,221
0,0,0,34,1,10,3,4,10,3,4,12484,19,2,6,17,2,6,23672,15,2,7,14,2,7,16203,303
0,0,0,34,1,2,0,3,2,0,2,4453,7,4,5,8,4,7,13954,16,7,18,15,7,19,26171,203
0,0,0,34,1,7,1,6,7,1,6,10000,4,0,4,4,0,2,8953,11,1,4,12,1,4,12468,412
0,0,0,34,1,4,1,2,3,1,2,7172,4,3,4,4,3,3,10296,17,8,7,16,8,5,29797,221
0,1,0,31,0,11,4,9,11,4,8,16344,2,0,2,2,0,2,5953,11,3,8,11,2,9,16172,122
0,1,0,31,0,3,0,0,3,0,0,5687,11,1,2,10,1,1,15297,0,0,0,0,0,0,0,121
0,1,0,31,0,13,1,7,13,1,8,14718,20,8,15,17,8,15,25672,9,4,8,8,4,8,15047,212
0,1,0,31,0,5,2,1,4,2,1,5313,18,6,11,17,6,9,25046,0,0,0,0,0,0,0,221
0,1,0,31,0,6,4,5,4,3,5,9844,8,2,3,8,2,3,14125,12,3,10,12,3,9,20171,303
0,1,0,31,0,19,10,20,18,9,17,30797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
0,1,0,31,0,23,7,10,20,7,10,23187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412
0,1,0,31,0,29,6,12,29,6,11,29031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,0,1,29,1,18,3,8,17,3,9,33032,12,0,10,12,0,9,20500,9,0,12,9,0,12,23375,122
0,0,1,29,1,0,0,0,0,0,0,2016,5,0,1,5,0,0,8453,5,0,3,5,0,3,12250,121
0,0,1,29,1,15,2,10,15,2,11,32657,12,0,16,11,0,15,26578,48,15,38,46,15,37,91156,212
0,0,1,29,1,6,0,11,7,0,10,17656,6,3,11,7,3,11,27797,49,47,71,49,47,71,127750,221
