# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

p 2 9 999 48 10305 1501
b 3 0 1056 0 1205 810
b 3 0 1056 0 1296 861
p 2 14 997 45 8660 1495
b 3 0 1056 0 1662 1075
b 3 0 1056 0 1519 1038
p 2 16 1009 31 9275 1530
b 3 0 1056 0 1639 1147
b 3 0 1056 0 1849 1036
p 2 13 1022 21 10557 1669
b 3 0 1056 0 2668 827
b 3 0 1056 0 2276 900
i 2 1056 0 0 26908 3966
b 3 0 1056 0 1566 850
b 3 0 1056 0 1396 789
p 2 12 993 51 8235 1496
b 3 0 1056 0 1333 887
b 3 0 1056 0 1261 880
p 2 2 1000 54 8119 1377
b 3 0 1056 0 1429 786
b 3 0 1056 0 999 675
p 2 4 1031 21 8052 1405
b 3 0 1056 0 1433 862
b 3 0 1056 0 1287 912
p 2 3 987 66 9558 1424
b 3 0 1056 0 906 640
b 3 0 1056 0 1152 727
p 2 4 942 110 8236 1349
b 3 0 1056 0 2281 917
b 3 0 1056 0 2138 942
p 2 7 1008 41 9642 1436
b 3 0 1056 0 1243 725
b 3 0 1056 0 974 706
p 2 2 1004 50 8514 1375
b 3 0 1056 0 1566 987
b 3 0 1056 0 1531 945
p 2 4 1000 52 9242 1430
b 3 0 1056 0 1987 945
b 3 0 1056 0 1782 880
p 2 3 1035 18 9029 1426
b 3 0 1056 0 1998 998
b 3 0 1056 0 1813 936
p 2 7 964 85 9164 1381
b 3 0 1056 0 1230 790
b 3 0 1056 0 1277 733
p 2 8 952 96 7991 1408
b 3 0 1056 0 1369 756
b 3 0 1056 0 1380 844
p 2 5 1020 31 7882 1398
b 3 0 1056 0 1378 780
b 3 0 1056 0 1387 804
p 2 3 962 91 8871 1365
b 3 0 1056 0 1135 769
b 3 0 1056 0 1202 759
p 2 1 952 103 7476 1325
b 3 0 1056 0 1254 741
b 3 0 1056 0 1423 750
p 2 2 988 66 8769 1330
b 3 0 1056 0 1922 884
b 3 0 1056 0 1883 989
p 2 4 995 57 8905 1426
b 3 0 1056 0 1281 793
b 3 0 1056 0 1283 737
p 2 1 915 140 9116 1351
b 3 0 1056 0 1279 758
b 3 0 1056 0 1271 814
p 2 2 952 102 8935 1350
b 3 0 1056 0 838 562
b 3 0 1056 0 855 632
p 2 0 921 135 8437 1294
b 3 0 1056 0 876 738
b 3 0 1056 0 1029 841
p 2 0 961 95 6996 1284
b 3 0 1056 0 633 546
b 3 0 1056 0 696 561
p 2 0 1012 44 5535 1248
b 3 0 1056 0 795 635
b 3 0 1056 0 862 708
p 2 0 977 79 5924 1235
b 3 0 1056 0 965 564
b 3 0 1056 0 1008 589
p 2 7 962 87 6278 1329
b 3 0 1056 0 1397 865
b 3 0 1056 0 1303 862
p 2 2 987 67 7730 1357
b 3 0 1056 0 1560 794
b 3 0 1056 0 1641 764
p 2 5 948 103 9073 1335
b 3 0 1056 0 2696 979
b 3 0 1056 0 2578 981
p 2 0 985 71 9191 1339
b 3 0 1056 0 1542 718
b 3 0 1056 0 1591 789
p 2 0 946 110 8147 1312
b 3 0 1056 0 1349 862
b 3 0 1056 0 1359 764
p 2 0 989 67 8316 1302
b 3 0 1056 0 1043 573
b 3 0 1056 0 1189 657
p 2 1 949 106 9404 1332
b 3 0 1056 0 979 689
b 3 0 1056 0 916 687
p 2 1 938 117 8109 1293
b 3 0 1056 0 882 681
b 3 0 1056 0 858 671
p 2 0 895 161 8410 1318
b 3 0 1056 0 1704 1016
b 3 0 1056 0 1671 1001
p 2 2 1004 50 9492 1331
b 3 0 1056 0 1317 842
b 3 0 1056 0 1257 776
p 2 2 973 81 9090 1315
b 3 0 1056 0 868 658
b 3 0 1056 0 882 669
p 2 0 894 162 7427 1245
b 3 0 1056 0 823 560
b 3 0 1056 0 1051 671
p 2 1 927 128 8502 1256
b 3 0 1056 0 1497 910
b 3 0 1056 0 1428 845
p 2 3 977 76 8972 1302
b 3 0 1056 0 1342 742
b 3 0 1056 0 1373 722
p 2 0 953 103 8918 1304
b 3 0 1056 0 1927 802
b 3 0 1056 0 2194 841
p 2 0 869 187 8580 1276
b 3 0 1056 0 2004 780
b 3 0 1056 0 2061 796
p 2 0 935 121 9275 1298
b 3 0 1056 0 923 687
b 3 0 1056 0 1079 803
p 2 0 959 97 8757 1282
b 3 0 1056 0 666 504
b 3 0 1056 0 622 478
p 2 0 949 107 8244 1271
b 3 0 1056 0 795 614
b 3 0 1056 0 1022 748
p 2 0 983 73 9141 1262
b 3 0 1056 0 751 525
b 3 0 1056 0 842 580
p 2 0 901 155 7349 1226
b 3 0 1056 0 897 713
b 3 0 1056 0 1026 799
p 2 0 954 102 7426 1302
b 3 0 1056 0 1033 710
b 3 0 1056 0 1030 661
p 2 0 987 69 7304 1276
b 3 0 1056 0 1353 866
b 3 0 1056 0 1448 884
p 2 0 923 133 9235 1337
b 3 0 1056 0 1868 911
b 3 0 1056 0 2128 882
p 2 1 903 152 10855 1412
b 3 0 1056 0 2248 970
b 3 0 1056 0 2483 1100
p 2 0 1018 38 11027 1451
b 3 0 1056 0 1885 805
b 3 0 1056 0 2004 847
p 2 0 943 113 10206 1414
b 3 0 1056 0 1588 745
b 3 0 1056 0 1772 828
p 2 0 894 162 10078 1392
b 3 0 1056 0 1621 705
b 3 0 1056 0 1811 788
p 2 0 933 123 9122 1364
b 3 0 1056 0 1727 969
b 3 0 1056 0 2095 1048
p 2 0 1031 25 9956 1378
b 3 0 1056 0 1621 812
b 3 0 1056 0 1668 812
p 2 0 977 79 8645 1309
b 3 0 1056 0 1725 971
b 3 0 1056 0 1570 964
p 2 0 1043 13 9861 1320
b 3 0 1056 0 652 560
b 3 0 1056 0 892 680
p 2 0 1031 25 8702 1321
b 3 0 1056 0 910 791
b 3 0 1056 0 871 727
p 2 0 1047 9 9801 1423
b 3 0 1056 0 942 697
b 3 0 1056 0 1039 764
p 2 1 1054 1 10258 1467
b 3 0 1056 0 1288 923
b 3 0 1056 0 1277 904
p 2 5 1013 38 8789 1382
b 3 0 1056 0 876 682
b 3 0 1056 0 1014 745
p 2 0 962 94 8090 1345
b 3 0 1056 0 1787 1018
b 3 0 1056 0 1798 1031
p 2 0 1028 28 10890 1453
b 3 0 1056 0 2110 931
b 3 0 1056 0 2337 892
p 2 0 986 70 9245 1391
b 3 0 1056 0 1943 893
b 3 0 1056 0 2084 974
p 2 0 992 64 9720 1376
b 3 0 1056 0 1319 725
b 3 0 1056 0 1366 788
p 2 0 983 73 9654 1343
b 3 0 1056 0 1779 863
b 3 0 1056 0 1847 890
p 2 0 1040 16 9880 1378
b 3 0 1056 0 1638 687
b 3 0 1056 0 1830 783
p 2 0 949 107 10105 1339
b 3 0 1056 0 1141 728
b 3 0 1056 0 1600 921
p 2 0 1036 20 10581 1370
b 3 0 1056 0 1413 706
b 3 0 1056 0 1654 747
p 2 0 977 79 9390 1318
b 3 0 1056 0 1632 838
b 3 0 1056 0 1691 854
p 2 0 1040 16 9417 1335
b 3 0 1056 0 1320 722
b 3 0 1056 0 1184 790
p 2 0 956 100 8827 1249
b 3 0 1056 0 639 604
b 3 0 1056 0 740 671
p 2 0 999 57 6509 1224
b 3 0 1056 0 585 501
b 3 0 1056 0 527 490
p 2 0 933 123 6874 1195
b 3 0 1056 0 710 638
b 3 0 1056 0 764 691
p 2 0 985 71 6845 1278
b 3 0 1056 0 859 588
b 3 0 1056 0 748 637
p 2 0 947 109 6511 1235
b 3 0 1056 0 830 645
b 3 0 1056 0 710 602
p 2 0 942 114 7642 1246
b 3 0 1056 0 843 541
b 3 0 1056 0 866 569
p 2 0 947 109 7823 1242
b 3 0 1056 0 1020 678
b 3 0 1056 0 1058 754
p 2 0 962 94 8508 1289
b 3 0 1056 0 701 525
b 3 0 1056 0 758 591
p 2 0 903 153 7873 1216
b 3 0 1056 0 642 553
b 3 0 1056 0 777 637
p 2 0 929 127 7724 1225
b 3 0 1056 0 551 471
b 3 0 1056 0 681 572
p 2 0 825 231 5830 1163
b 3 0 1056 0 886 625
b 3 0 1056 0 672 590
p 2 0 982 74 7917 1245
b 3 0 1056 0 563 487
b 3 0 1056 0 568 489
p 2 0 982 74 8074 1223
b 3 0 1056 0 555 508
b 3 0 1056 0 788 648
p 2 0 931 125 8174 1219
b 3 0 1056 0 487 371
b 3 0 1056 0 653 435
p 2 0 940 116 7822 1221
b 3 0 1056 0 615 613
b 3 0 1056 0 837 730
p 2 0 962 94 7072 1209
b 3 0 1056 0 520 469
b 3 0 1056 0 505 488
p 2 0 890 166 6125 1178
b 3 0 1056 0 486 443
b 3 0 1056 0 543 489
p 2 0 917 139 6366 1197
b 3 0 1056 0 422 399
b 3 0 1056 0 474 419
