# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

b 3 0 1056 0 3607 1476
b 3 0 1056 0 3605 1450
p 2 29 844 183 13033 1871
b 3 0 1056 0 3948 1587
b 3 0 1056 0 3894 1583
p 2 32 946 78 13675 1964
b 3 0 1056 0 3897 1699
b 3 0 1056 0 4082 1662
p 2 17 957 82 13106 1946
b 3 0 1056 0 3567 1428
b 3 0 1056 0 3287 1479
p 2 10 931 115 12392 1939
b 3 0 1056 0 2762 1270
b 3 0 1056 0 2917 1224
p 2 2 874 180 11227 1728
b 3 0 1056 0 2513 1230
b 3 0 1056 0 2756 1230
p 2 15 857 184 11527 1688
b 3 0 1056 0 3208 1528
b 3 0 1056 0 3524 1471
p 2 8 980 68 14558 1767
b 3 0 1056 0 2240 1083
b 3 0 1056 0 2526 1189
p 2 5 1003 48 12096 1519
b 3 0 1056 0 1984 1120
b 3 0 1056 0 2027 1122
p 2 2 960 94 12082 1410
b 3 0 1056 0 1846 979
b 3 0 1056 0 1772 982
p 2 0 1009 47 9874 1415
b 3 0 1056 0 1738 1080
b 3 0 1056 0 2034 1128
p 2 1 1002 53 10192 1431
b 3 0 1056 0 1640 942
b 3 0 1056 0 1917 1110
p 2 0 986 70 11491 1445
b 3 0 1056 0 1523 828
b 3 0 1056 0 1638 909
p 2 0 953 103 10385 1336
